Comparison between Results_May_2024_Week_4 and Results_May_2024_Week_5,,,,,,
Date Produced:,29-May-24,,,,,
MCIS,Investment-Linked,"PrimeLink
","Gift your loved ones a lasting legacy and everlasting memories.
Protection against Death or Total and Permanent Disability (TPD)
Coverage up to RM8 million for Total and Permanent Disability (TPD) benefit
Additional payout for Accidental Death
Compassionate Benefit of RM3000
Optional benefit - 5% increase in sum assured every 5 policy years
5 years guaranteed coverage
Maturity Benefit
Flexible premium paying terms of either 5, 10 or 20 years or to match the full coverage term
Flexible policy term options of 10 or 20 years, or ending at age 60, 70, 80 or 90 years old
Potential gains from investment-linked funds
Flexibility to switch between 8 investment funds
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
MCIS Life Titan Fund
For more info please call:
+603-7652 3388",,,
MCIS,Investment-Linked,"SecureInvest
","Protecting you while optimising your investment opportunities.
Protection for Natural Death and Accidental Death
Maturity Benefit
No medical underwriting
Single premium plan, no monthly payments
Withdraw funds or top-up your investment based on your needs
Flexible policy term options of 5, 10, 15 or 20 years
Potential gains from investment-linked funds
Flexibility to switch within 8 investment funds
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
MCIS Life Titan Fund
For more info please call:
+603-7652 3388",,,
MCIS,Group Insurance,"Group Term Life (GTL)
","Key Benefits
Why Choose Us?",,,
MCIS,Group Insurance,"SME Care+
","What benefits does SME Care+ offer?
Group Term Life (GTL) Scheme Benefits
Group Hospitalisation & Surgical (GHS) Scheme Benefits",,,
MCIS,Buy Online,MyCritical Cover,"Essential critical illness coverage made affordable
Critical Illness Cover
Guardian Allowance",,,
MCIS,Buy Online,MyHospital Benefit,"Supplementing your daily expenses for a speedy recovery
Daily Cash Allowance for Hospitalisation
Double Daily Cash Allowance for Hospitalisation due to Accidental Causes
Triple Daily Cash Allowance for ICU Admission",,,
MCIS,Buy Online,MyLife Protect,"Protect Your Future
Coverage for Death
Coverage for Total and Permanent Disability (TPD)
Flexibility of Policy Term 10, 20 or 30 years",,,
MCIS,Buy Online,MyLifeStyle Protect,"Your daily essentials are covered in the event of emergencies
Sum Assured up to RM600,000 for Death or Total and Permanent Disability, and up to RM180,000 for Critical Illness
As Low as RM0.081 per day
1for female age 18 next birthday with Essential Plan.
Coverage for Death, Total & Permanent Disability and 3 Critical Illnesses",,,
Prudential,Medical Insurance,PRUMillion Med,A medical rider that covers your expenses incurred during hospitalisation and out-patient treatment.,,,
Prudential,Medical Insurance,PRUValue Med,A medical rider that covers your medical expenses during hospitalisation.,,,
Prudential,Critical Illness Insurance,PRUMy Critical Care,Coverage that pays you a lump sum to spend as you want if you have critical illness.,,,
Prudential,Critical Illness Insurance,PRUMan & PRULady,Gender-specific critical illness plans uniquely designed for every man and woman.​,,,
Prudential,Life Insurance,PRUWith You,"Life insurance and investment in a single, flexible plan that protects you and your family.",,,
Prudential,Infant & Child Insurance,PRUMy Child Plus,"A solution that protects mummy and baby from 13 weeks of pregnancy.

 

中文点击这里",,,
Prudential,My First Insurance,PRUFirst,"Your comprehensive first plan. A coverage plan that covers Medical, Accident, Life, Payor and more!



中文点击这里


",,,
Prudential,Wealth Insurance,Legacy Plans,Prepare yourself and your family for a fulfilling future.,,,
Prudential,Wealth Insurance,Savings & Investment Plans,Grow your wealth with our savings and investment plans.,,,
Prudential,Wealth Insurance,Investment-linked Funds Information,Make the most of your investment link plan through our selection of funds.,,,
Prudential,EPF i-Lindung,PRUCare Life,"Exclusively for EPF members

From as low as RM8.40/year*, you can focus on your recovery without worrying about your finances. Use your EPF funds to get protection from 43 critical illnesses and dengue through i-Lindung. Sign up via your EPF i-Akaun without the need for a medical check-up!

*Terms and conditions apply",,,
Prudential,EPF i-Lindung,PRUGuard Life,"Exclusively for EPF members

From as low as RM10.40/year*, secure your loved ones’ future with life insurance that covers Death and Total & Permanent Disability (TPD) using your EPF funds.

*Terms and conditions apply",,,
Prudential,EPF i-Lindung,PRUCare Family,"Exclusively for EPF members

Get coverage against 43 critical illnesses and Death for you and your family from as low as RM16.30 a year* per covered member through i-Lindung using your EPF funds.

Download Flyer
*Terms and conditions apply.",,,
Prudential,EPF i-Lindung,PRUGuard Family,"Exclusively for EPF members

Get coverage for Death and Total & Permanent Disability (TPD) for you and your family from as low as RM13.80 a year* per covered member through i-Lindung using your EPF funds. On top of that, you can get up to 3 times the coverage upon accidental Death.

Download Flyer

*Terms and conditions apply.",,,
Sun Life,"Life Insurance, Protection",Cash Plus Assurance,"
Death/Total and permanent disability (TPD) benefit

",,,
Sun Life,"Life Insurance, Protection",Credit Protector Plus,"
Death/Total and permanent disability (TPD)/ 36 Critical illness (CI) benefit

",,,
Sun Life,"Life Insurance, Protection",GoLife,"
Insurance coverage up to RM76,000

Monthly premium as low as RM5 per month

Simple online registration

Flexible, pay as you go monthly plan 

",,,
Sun Life,"Life Insurance, Protection",GoLife Plus,"
Insurance coverage up to RM76,000

Customisable with optional riders

Monthly premium as low as RM13 per month

Simple online registration 

",,,
Sun Life,"Life Insurance, Protection",Group Amanah Saham Assurance,"
Death/Total and permanent disability (TPD) benefit

",,,
Sun Life,"Life Insurance, Protection",Group Mortgage Level Term Assurance,"
Death/Total and permanent disability (TPD) benefit

",,,
Sun Life,"Life Insurance, Protection",Group Mortgage Reducing Term Assurance,"
Death / Total and permanent disability (TPD) benefit

",,,
Sun Life,"Life Insurance, Protection",Sun AutoLife,"
Death/Total and permanent disability (TPD) benefit

Accidental death/ Accidental total and permanent disability (TPD) benefit

",,,
Sun Life,"Life Insurance, Protection, Savings, Education",Sun EduSmart,"
Education reward

Insurance coverage

Guaranteed maturity benefit

Waiver of premium (parent/legal guardian)

",,,
Sun Life,"Life Insurance, Protection, Investment, Retirement",Sun Income Secure Max,"
Insurance coverage

Guaranteed yearly income

Full premium allocation 

",,,
Sun Life,"Life Insurance, Protection, Investment",Sun Prestige Life,"
High coverage on death or Total Permanent Disability (TPD)

Additional coverage on accidental death or TPD

Protection booster

Compassion benefit

",,,
Sun Life,"Life Insurance, Savings, Investment",Sun Save Invest,"
Simple enrolment

Insurance coverage

Full premium allocation 

Maturity benefit

",,,
Sun Life,"Life Insurance, Savings, Retirement",Sun SaveAssured,"
Guaranteed maturity benefit

Insurance coverage

Waiver of premium option

",,,
Sun Life,"Life Insurance, Protection, Savings, Investment, Retirement",Sun Shield Link,"
Customisable protection and investment in one plan

Enhanced protection through optional rider

Allocation bonus 

Loyalty booster

",,,
Sun Life,"Life Insurance, Protection, Savings, Retirement",Sun Signature Life Plus,"
Simple enrolment with up to RM 2mil non-medical limit

Guaranteed health check-up allowance benefit

Guaranteed loyalty bonus benefit

Insurance coverage

",,,
Sun Life,"Life Insurance, Savings, Retirement",Sun Wealth Plus,"
Easy enrolment with no underwriting required

Guaranteed survival benefit

Maturity benefit

Insurance coverage

",,,
Sun Life,"Life Insurance, Health",Sun eCritical Shield,"
Top 3 CI Care benefit

Diabetes Care benefit

Long coverage term

No medical check-up

",,,
Sun Life,"Life Insurance, Health",Sun eMediCare Income,"
Comprehensive hospital income coverage

Long coverage term

No medical check-up

",,,
Sun Life,"Life Insurance, Protection",Sun eSsential Life,"
High coverage

Death/TPD benefit

Long coverage term

No medical check-up

",,,
Sun Life,"Life Insurance, Protection, Investment",SunInvest,"
Hassle-free enrolment 

Diversified investment portfolio

Insurance coverage

",,,
Sun Life,"Life Insurance, Protection, Investment",SunLink Max,"
Full premium allocation 

Comprehensive & customised insurance coverage with optional riders

",,,
Tokio Marine,Life,TokioMarine-iBig 2²,Embrace the future without fear,,,
Tokio Marine,Life,TokioMarine-iMillion²,Staying protected is one of the best gifts for your loved ones,,,
Tokio Marine,Life,TokioMarine-iLady²,Love yourself the way you love the world,,,
Tokio Marine,Life,TokioMarine-iFlexSecure 2²,Protection with Short-Term Commitment,,,
Tokio Marine,Life,Perlindungan Tenang TokioMarine E-ssential Tenang³,Affordable Internet Life Insurance Plan for everyone.,,,
Tokio Marine,Life,TokioMarine-TermDefender¹,"Instant & affordable coverage up to RM 500,000!",,,
Tokio Marine,Life,TokioMarine-LifeTreasure¹,Live without regrets during your best years,,,
Tokio Marine,Life,Convertible Term Assurance¹,Largest sum assured protection at the lowest cost.,,,
Tokio Marine,Life,TokioMarine-iLifeSecure 2²,Protect what’s important today for a secure tomorrow,,,
Tokio Marine,Life,TokioMarine 360²,An All-in-One Plan insurance solution specially designed for you,,,
Tokio Marine,Health,iCareGuard and iCareGuard Plus³,Get Rewarded for Guarding Your Health,,,
Tokio Marine,Health,iMediCare³,Embracing freedom with a healthy life. We now cover COVID-19.,,,
Tokio Marine,Health,iComprehensive CI³,"Early Protection, Early Recovery",,,
Tokio Marine,Health,TokioMarine-CriticalDefender¹,Affordable coverage for critical illness,,,
Tokio Marine,Health,TokioMarine-MedicDefender¹,Affordable hospitalisation income plan,,,
Tokio Marine,Health,Cancer Shield Plus¹,Feel secured with double protection. Be free from financial constraints.,,,
Tokio Marine,Health,iHealth Advance³,Boosting your medical insurance coverage to ensure you always stay protected,,,
Tokio Marine,Health,MedShield²,Protection should you fall ill. Rewards should you stay healthy,,,
Tokio Marine,General Savings,TokioMarine-Optimizer¹,Save now for a better tomorrow,,,
Tokio Marine,General Savings,TokioMarine-iRich Premier / TokioMarine-iRich²,Wealth Gain for a Rewarding Future,,,
Tokio Marine,For Your Retirement,Asia Income Master Plus¹,Hassle-free retirement planning today. Worry-free comfort tomorrow.,,,
Tokio Marine,For Your Retirement,Asia Premier Endowment Plus¹,Make a golden investment. Enjoy a stream of income in your golden years.,,,
Tokio Marine,For Your Retirement,TokioMarine-XtraCash¹,Extra income for the present. Endless assurance for the future.,,,
Tokio Marine,For Education,TokioMarine-BrightFuture¹,Shine bright like a diamond,,,
Tokio Marine,Employee Benefits,Group Term Life,Take better care of your employees. Protect them from harm arising from natural and accidental causes.,,,
Tokio Marine,Employee Benefits,Group Dread Disease,Medical coverage for 39 dread diseases. Essential protection for your employees.,,,
Tokio Marine,Motor,Motor Insurance,Ensures worry-free journeys with essential coverage,,,
Tokio Marine,Motor,Tokio Marine BikePro,Experience the unparalleled peace of mind as you enjoy the freedom of the open road ahead,,,
Tokio Marine,Motor,Tokio Marine AutoPro,The right choice for better protection whilst you are on road. Get protected by selecting Tokio Marine AutoPro to cover your vehicle.,,,
Tokio Marine,Motor,Auto Partner,Covers you for roadside emergencies and house repairs,,,
Tokio Marine,Motor,DriveSafe PA Partner,A comprehensive yet affordable plan to protect you and your passengers against accidents..,,,
Tokio Marine,Motor,Commercial Partner,Protection for drivers and attendants of commercial vehicles against accidents,,,
Tokio Marine,Motor,Motorcyclist Partner,Protect yourself and/or your rider against accidental death and permanent disablement as a result of accident on a specified motorcycle.,,,
Tokio Marine,Personal Accident,Tokio Marine PremierUltra PA,Protects your family with a range of reliable plans.,,,
Tokio Marine,Personal Accident,Flexi PA Partner,"Protection tailored to your needs and budget for anytime, anywhere.",,,
Tokio Marine,Personal Accident,UniqCare PA,UniqCare PA offers protection catering exclusively to the needs of OKU.,,,
Tokio Marine,Personal Accident,AEONCare Insurance,Comprehensive protection for personal finance and& credit card customers.,,,
Tokio Marine,Travel and Sports,Tokio Marine Explorer,Extensive and customisable coverage for wherever you go.,,,
Tokio Marine,Travel and Sports,Tokio Marine Annual Explorer,Protection for business and personal trips throughout the year.,,,
Tokio Marine,Travel and Sports,Domestic Travel Partner Plus,Explore Malaysia worry-free with comprehensive coverage.,,,
Tokio Marine,Travel and Sports,Travel Personal Accident,Provides peace of mind for short trips.,,,
Tokio Marine,Travel and Sports,Golfer Insurance,"Safeguards you against the unexpected, so you can focus on your game.",,,
Tokio Marine,Health,Premier Medic Partner,Lifelong coverage for your health.,,,
Tokio Marine,Health,Medic Plus,Boosts your medical plan for ultimate assurance.,,,
Tokio Marine,Health,Mosbite,Protection against Dengue and Zika.,,,
Tokio Marine,Home and Property,Home Partner Insurance,Comprehensive cover for your prized possessions and protection for your family,,,
Tokio Marine,Home and Property,Houseowners/ Householders,Houseowners/Householders protects your home and its contents against loss or damage,,,
Tokio Marine,Home and Property,Tokio Marine SecureHome,Comprehensively safeguard your home and belongings.,,,
Tokio Marine,Promotions,Motor Campaign,Get rewarded today by insuring your vehicle with Tokio Marine,,,
Tokio Marine,Promotions,FlexiPay,Enjoy interest free instalment of up to 12 months,,,
Zurich,"investment, family",Zurich ValueLife Pluz,Plan For A Debt-Free Future.,,,
Zurich,"investment, family",Zurich ValueLife Junior,Big Protection For Your Little One.,,,
Zurich,"investment, family",Zurich ValueLife,Safeguarding Life's Precious Moments.,,,
Zurich,"investment, family",Zurich ValueLife Premier,For The Hero In You.,,,
Zurich,"investment, future",Zurich Max1nvest,Optimising investment opportunities.,,,
Zurich,"savings, future",Zurich Prestige Cover,"The plan that grows with you, for you.",,,
Zurich,"savings, future",Zurich Favour8 Guaranteed Acceptance,Shape your future with rewards along the way,,,
Zurich,"savings, future",Zurich Favour8,Shape your future with rewards along the way.,,,
Zurich,"savings, future",Super Wealth Plan,"Guaranteed long term cash payment with maturity benefit to secure your financial goals.
",,,
Zurich,"savings, future",Teras Perdana,5-in-1 protection plan with Guaranteed Cash Back at maturity!,,,
Zurich,"protection, health",Zurich iCare Essential,Critical protection made easy.,,,
Zurich,"protection, health",Zurich iCare Medic,Big journeys begin with small steps. Start here.,,,
Zurich,"protection, health",Z-MedProtect,"Just focus on getting well, we will take care of the rest!",,,
Zurich,"protection, health",MedicaGen 200,Prepares you for costly medical expenses with comprehensive protection.,,,
Zurich,"protection, health",MediLove,Essential health coverage for peace of mind.,,,
Zurich,"protection, health",Zurich Infinite Care,Comprehensive health benefits that truly fit you.,,,
Zurich,"protection, health",MaxMedic,Comprehensive medical plan that is easy on your pocket.,,,
Zurich,"protection, health",Critical Care,Affordable 50 Critical Illnesses protection plan for peace of mind.,,,
Zurich,"protection, health",Critical Care Essential,Protects you against 50 Critical Illnesses with additional payout.,,,
Zurich,"protection, health",Early Care Critical Illness,Provides you the financial support right from the early to advanced stages of a critical illness.,,,
Zurich,"protection, health",Flex Lady Critical Illness,Comprehensive coverage against major female critical illnesses.,,,
Zurich,"protection, health",Flex Junior Critical Illness,Protects your child against juvenile critical illnesses.,,,
Zurich,"protection, health",Flex Maternity Care,Protects you and your child during pre-natal and infancy period.,,,
Zurich,"protection, health",Hospital Income Plus,Receive daily cash income upon hospitalisation.,,,
Zurich,"protection, health",Hospital & Surgical Benefit,Daily hospitalisation income and surgical benefit plan.,,,
Zurich,"protection, health",Enhance Your Coverage With Our Riders,Give your family the confidence to handle life's uncertainties with ease.,,,
Zurich,"protection, life",Zurich ValueLife Pluz,Plan A Debt-Free Future.,,,
Zurich,"protection, life",Zurich Essential Cover,Protecting your future with ease.,,,
Zurich,"protection, life",Zurich ValueLife Junior,Big Protection for Your Little One.,,,
Zurich,"protection, life",Zurich Prestige Cover,"The plan that grows with you, for you.",,,
Zurich,"protection, life",Zurich Everlasting Cover,Always with you through good and bad times.,,,
Zurich,"protection, life",Zurich Multi Shield,A better tomorrow for your loved ones.,,,
Zurich,"protection, life",Zurich ValueLife,Safeguarding Life’s Precious Moments.,,,
Zurich,"protection, life",Zurich ValueLife Premier,For the Hero in you.,,,
Zurich,"protection, life",Zurich TermLife,"Customised protection to secure your family and business' financial wellbeing.
",,,
Zurich,"protection, life",Teras Perdana,"5-in-1 protection plan with Guaranteed Cash Back at maturity!
",,,
Zurich,"protection, life",Zurich SureCover,The ultimate convenience.,,,
Zurich,"protection, life",Max Golden Wanita Protection,"Customised protection for women in their golden years and beyond. 
",,,
Zurich,"protection, life",PA Protector and PA Medicare,"Comprehensive personal accident coverage with flexible add-on benefits.
",,,
Zurich,"protection, life",Protect All 110 EVO,"All in one complete personal accident protection plan.
",,,
Zurich,"protection, life",Critical Care Premium Waiver,"Premium waiver benefit that relieves your financial burden should a critical illness occur.
",,,
Zurich,"protection, life",Enhance Your Coverage With Our Riders,Give your family the confidence to handle life's uncertainties with ease.,,,
Zurich,"protection, safety",Personal Sentinel V3 Plus,Essential protection for your loved ones.,,,
Zurich,"protection, safety",Individual Personal Accident,Live confidently by protecting yourself against the unexpected.,,,
Zurich,"protection, family",Zurich ValueLife Junior,Big protection for your little one,,,
Zurich,"protection, family",Zurich ValueLife Premier,For the Hero in you.,,,
Zurich,"protection, family",Zurich Prestige Cover,"The plan that grows with you, for you.",,,
Zurich,"protection, family",Domestic Maid Insurance Scheme,24-7 coverage for the indispensable helper in your home.,,,
Zurich,"protection, family",Zurich Multi Shield,A better tomorrow for your loved ones.,,,
Zurich,"protection, family",School Personal Accident,Comprehensive protection for your little ones.,,,
Zurich,"protection, property",Z-HomeProtect,"Safeguarding the place you call home
",,,
Zurich,"protection, property",Fire Insurance,"Protect your property and inventory from fire-related incidents.
",,,
Zurich,"protection, vehicle",Z-Drive Assist,Drive with confidence on the road with Z-Drive Assist,,,
Zurich,"protection, vehicle",Z-Driver,Protects you and your loved ones on the road.,,,
Zurich,"protection, vehicle",Z-Rider,Protects your motorcycle and those that you truly love while on the road,,,
Zurich,"protection, travel",Z-Travel Insurance (International),Covers you and your family while travelling overseas,,,
Zurich,"protection, travel",Z-Travel Insurance (Domestic),Covers you and your family while travelling within Malaysia,,,
Zurich,"protection, golf",Golfer’s Insurance,The perfect coverage for avid golfers.,,,
